2026-06-12 17:43:35 | INFO     | crawler | Removed 0 records with missing title/content.
2026-06-12 17:43:35 | INFO     | crawler | Saved 10 documents to /home/nguyenlog205/projects/university/semester65/r2ai-aihoi/src/data/legal_document/metadata_law_doanh_nghiệp.json
2026-06-12 17:43:35 | INFO     | crawler | Moving to next page...
2026-06-12 17:43:36 | INFO     | crawler | Processing page 3 – 10 results
2026-06-12 17:43:36 | INFO     | crawler |   [1/10]
2026-06-12 17:43:36 | INFO     | crawler |   Document fully expired – skipping
2026-06-12 17:43:36 | INFO     | crawler |   [2/10]
2026-06-12 17:43:36 | INFO     | crawler |   Document type not required – skipping
2026-06-12 17:43:36 | INFO     | crawler |   [3/10]
2026-06-12 17:43:36 | INFO     | crawler |   Document type not required – skipping
2026-06-12 17:43:36 | INFO     | crawler |   [4/10]
2026-06-12 17:43:40 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-109-2026-nd-cp-quy-dinh-xu-phat-vi-pham-hanh-chinh-trong-linh-vuc-bo-tro-tu-phap-hanh-chinh-tu-phap-hon-nhan-va-gia-dinh-thi-hanh-an-dan-su-phuc-hoi-pha-san-doanh-nghiep-hop-tac-xa--0ae72df0-4247-11f1-9aef-8b444472143a (252470 characters)
2026-06-12 17:43:40 | INFO     | crawler |     Nghị định 109/2026/NĐ-CP Quy định xử phạt vi phạm hành chính...
2026-06-12 17:43:40 | INFO     | crawler |   [5/10]
2026-06-12 17:43:43 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-so-64-2026-nd-cp-quy-dinh-chi-tiet-mot-so-dieu-va-bien-phap-thi-hanh-luat-phuc-hoi-pha-san-ve-thi-hanh-quyet-dinh-tuyen-bo-doanh-nghiep-hop-tac-xa-pha-san--187583 (26887 characters)
2026-06-12 17:43:43 | INFO     | crawler |     Nghị định số 64/2026/NĐ-CP Quy định chi tiết một số điều và ...
2026-06-12 17:43:43 | INFO     | crawler |   [6/10]
2026-06-12 17:43:43 | INFO     | crawler |   Document type not required – skipping
2026-06-12 17:43:43 | INFO     | crawler |   [7/10]
2026-06-12 17:43:55 | ERROR    | crawler | Error processing document: Message: 
Stacktrace:
#0 0x55c94478b29a <unknown>
#1 0x55c94416d449 <unknown>
#2 0x55c9441c1baf <unknown>
#3 0x55c9441c1e01 <unknown>
#4 0x55c94420cae4 <unknown>
#5 0x55c944209cbf <unknown>
#6 0x55c9441b5132 <unknown>
#7 0x55c9441b5f41 <unknown>
#8 0x55c944751737 <unknown>
#9 0x55c94474ff39 <unknown>
#10 0x55c94473ac26 <unknown>
#11 0x55c944750ada <unknown>
#12 0x55c944722bd0 <unknown>
#13 0x55c944777c28 <unknown>
#14 0x55c944777dc5 <unknown>
#15 0x55c944789e1e <unknown>
#16 0x7f9cf8ce83c4 start_thread
#17 0x7f9cf8d6b56c __clone3

2026-06-12 17:43:56 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-so-04-2026-nd-cp-quy-dinh-viec-giao-nhiem-vu-dat-hang-va-tieu-chi-lua-chon-to-chuc-doanh-nghiep-viet-nam-duoc-giao-nhiem-vu-dat-hang-cung-cap-dich-vu-hang-hoa-cong-nghiep-duong-sat--186427 (0 characters)
2026-06-12 17:43:56 | INFO     | crawler |     ...
2026-06-12 17:43:56 | INFO     | crawler |   [8/10]
2026-06-12 17:43:59 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-so-365-2025-nd-cp-quy-dinh-ve-giam-sat-kiem-tra-danh-gia-xep-loai-bao-cao-va-cong-khai-thong-tin-trong-quan-ly-va-dau-tu-von-nha-nuoc-tai-doanh-nghiep--187600 (88548 characters)
2026-06-12 17:43:59 | INFO     | crawler |     Nghị định số 365/2025/NĐ-CP Quy định về giám sát, kiểm tra, ...
2026-06-12 17:43:59 | INFO     | crawler |   [9/10]
2026-06-12 17:44:11 | ERROR    | crawler | Error processing document: Message: 
Stacktrace:
#0 0x55c94478b29a <unknown>
#1 0x55c94416d449 <unknown>
